,影片名称,综合票房,票房占比,排片场次
0,向阳·花,666.36,36.0%,79381
1,不说话的爱,310.61,16.8%,57888
2,我的世界大电影,247.12,13.3%,67321
3,哪吒之魔童闹海,205.60,11.1%,50424
4,猎狐·行动,192.20,10.4%,33919
5,热烈,49.87,2.6%,5900
6,机动战士高达：跨时之战,39.35,2.1%,15376
7,制暴：无限杀机,28.18,1.5%,8200
8,唐探1900,21.57,1.1%,6587
9,阳光照耀青春里,15.90,0.8%,11249
10,射雕英雄传：侠之大者,10.25,0.5%,481
11,怒水西流,7.63,0.4%,5906
12,东四十条,6.05,0.3%,5359
13,谍网追凶,4.26,0.2%,2
14,还有明天,4.04,0.2%,704
15,倩女幽魂,3.84,0.2%,1817
16,破·地狱：感恩特别版,3.75,0.2%,128
17,猫猫的奇幻漂流,3.63,0.1%,929
18,折翼的天使,3.43,0.1%,20
19,音乐课,3.32,0.1%,21
20,打铁花行动,2.84,0.1%,27
21,不完美逃脱,2.30,0.1%,372
22,您的声音,1.80,<0.1%,27
23,向阳花开,1.80,<0.1%,9
24,熊出没·重启未来,1.72,<0.1%,1281
25,疾速追杀4,1.65,<0.1%,578
26,天堂旅行团,1.50,<0.1%,861
27,特别的你,1.12,<0.1%,7
28,潮,1.00,<0.1%,25
29,我会好好的,0.97,<0.1%,875
30,攀枝花红了,0.76,<0.1%,4
31,新龙门客栈（舞台纪录电影·越剧）,0.56,<0.1%,434
32,花样年华,0.55,<0.1%,173
33,夜半凶宅,0.47,<0.1%,744
34,海绵宝宝：皮老板大电影,0.46,<0.1%,257
35,诡才之道,0.43,<0.1%,189
36,午时三刻,0.41,<0.1%,494
37,白雪公主,0.30,<0.1%,214
38,大突围,0.22,<0.1%,4
39,单声,0.21,<0.1%,1
40,浴血困牛山,0.13,<0.1%,1
41,完美的日子,0.12,<0.1%,12
42,多幸运遇见你,0.12,<0.1%,114
43,去唱卡拉OK吧！,0.11,<0.1%,13
44,久别·重逢,0.08,<0.1%,31
45,美国队长4,0.07,<0.1%,35
46,真爱营业,0.06,<0.1%,141
47,康熙与路易十四,0.06,<0.1%,2
48,非标准恋爱,0.05,<0.1%,59
49,再见，也许不再见,0.05,<0.1%,22
50,你的颜色,0.03,<0.1%,34
51,雅丹卫士,0.02,<0.1%,2
52,周末狂飙,0.02,<0.1%,55
53,追幸福的人,0.02,<0.1%,24
54,想飞的女孩,0.02,<0.1%,41
55,援藏日记,0.02,<0.1%,195
56,小小的我,0.02,<0.1%,19
57,平原上的火焰,0.01,<0.1%,13
58,碟仙玩偶,0.00,<0.1%,12
59,编号17,0.00,<0.1%,6
60,阴阳师0,0.00,<0.1%,7
61,致命抉择,0.00,<0.1%,12
62,天龙押运,0.00,<0.1%,2
