,影片名称,上映天数,票房金额,综合票房,票房占比,排片场次
0,阿凡达3,上映21天,9.93亿,386.52万,22.8%,49452
1,匿杀,上映9天,2.47亿,385.21万,22.8%,77318
2,寻秦记,上映9天,2.01亿,322.06万,19.0%,70161
3,疯狂动物城2,上映44天,42.61亿,265.75万,15.7%,66175
4,用武之地,上映9天,5734.5万,70.95万,4.2%,23554
5,得闲谨制,上映34天,3.89亿,62.19万,3.6%,6954
6,过家家,上映8天,3205.7万,61.31万,3.6%,21765
7,父辈的天空,上映27天,668.0万,26.31万,1.5%,6655
8,海绵宝宝：深海大冒险,上映8天,2982.9万,24.20万,1.4%,9932
9,山河为证,,4440.3万,14.80万,0.8%,20
10,情圣3,上映13天,4056.0万,14.34万,0.8%,8051
11,不过是上班,点映,377.3万,10.87万,0.6%,5309
12,机器人之梦,,1711.9万,6.26万,0.3%,697
13,他年她日,上映9天,2426.0万,5.33万,0.3%,6241
14,隐者山河,上映45天,592.3万,4.38万,0.2%,289
15,207B,上映14天,103.6万,3.65万,0.2%,21
16,金刚不坏,上映35天,35.1万,2.49万,0.1%,7
17,魔法坏女巫2,上映16天,485.0万,2.44万,0.1%,280
18,月光里的男孩,上映3天,13.7万,2.10万,0.1%,5458
19,菜肉馄饨,上映55天,2758.4万,1.89万,0.1%,217
20,遥远的普若岗日,上映24天,268.6万,1.51万,<0.1%,899
21,惊天魔盗团3,上映56天,2.87亿,1.24万,<0.1%,477
22,山河故人,,3868.8万,1.18万,<0.1%,239
23,音乐课,,111.7万,1.12万,<0.1%,4
24,点到为止,上映13天,384.6万,1.03万,<0.1%,1014
25,英雄三元里,上映42天,541.3万,1.02万,<0.1%,30
26,狂野时代,上映48天,1.91亿,0.86万,<0.1%,31
27,风云宝石Ⅰ:罗汉岩,上映12天,9.0万,0.84万,<0.1%,28
28,再团圆,上映17天,11.6万,0.74万,<0.1%,12
29,控方证人,上映35天,613.5万,0.70万,<0.1%,90
30,盖世神功,点映,2.4万,0.59万,<0.1%,6
31,我的世界没有我,上映43天,1149.6万,0.53万,<0.1%,5
32,开心岭,上映49天,1082.1万,0.47万,<0.1%,8
33,永恒站,上映16天,40.3万,0.32万,<0.1%,48
34,靠近我看见你,上映88天,335.3万,0.28万,<0.1%,1
35,星际变种,上映9天,47.7万,0.23万,<0.1%,959
36,这周五的游乐场,,274.6万,0.21万,<0.1%,2
37,内幕,上映34天,3065.4万,0.20万,<0.1%,111
38,背后有人,上映20天,174.3万,0.19万,<0.1%,741
39,雪域使命,上映28天,632.4万,0.16万,<0.1%,22
40,神秘家书,上映52天,42.0万,0.15万,<0.1%,2
41,海洋之谜,,37.2万,0.13万,<0.1%,1
42,中华白海豚,上映28天,21.2万,0.13万,<0.1%,15
43,赛德克·巴莱（上）,上映28天,211.9万,0.13万,<0.1%,17
44,一路福星,上映8天,8.7万,0.11万,<0.1%,109
45,赛德克·巴莱（下）,上映27天,143.5万,0.10万,<0.1%,18
46,年轻母亲之家,上映28天,22.7万,0.09万,<0.1%,5
47,林冰交响之夜：好莱坞碗演唱会,上映16天,24.7万,0.09万,<0.1%,21
48,浪花朵朵,上映28天,11.7万,0.09万,<0.1%,1
49,莫奈的睡莲：水波与光影的魔力,上映49天,40.6万,0.06万,<0.1%,10
50,陪你到清晨,上映77天,377.7万,0.04万,<0.1%,9
51,窗外是蓝星,,5952.0万,0.04万,<0.1%,19
52,后羿之箭神,,4.4万,0.03万,<0.1%,1
53,荒村怪谈,上映35天,165.8万,0.03万,<0.1%,41
54,好想大声说我爱你,上映27天,105.4万,0.03万,<0.1%,3
55,边疆军魂,,86.2万,0.02万,<0.1%,1
56,竞时出击,上映43天,3788,0.02万,<0.1%,1
57,红嫁衣：纸新娘,上映70天,772.2万,0.02万,<0.1%,39
58,熊猫闯非洲,上映8天,4.2万,0.02万,<0.1%,42
59,我最特别的朋友,上映35天,238.8万,0.02万,<0.1%,6
60,非凡的你,上映77天,20.2万,0.02万,<0.1%,2
61,鱼刺,上映16天,3.4万,0.01万,<0.1%,9
62,唐宫夜宴,,5.7万,0.01万,<0.1%,21
63,岁岁平安,上映24天,64.6万,0.01万,<0.1%,10
64,天堂附近,上映16天,2490,0.00万,<0.1%,1
65,无畏之战,上映20天,1.0万,0.00万,<0.1%,1
66,最恨我爱你,上映29天,11.6万,0.00万,<0.1%,3
67,逆转上半场,上映15天,9.1万,0.00万,<0.1%,3
68,亭亭凤凰台,上映14天,4.2万,0.00万,<0.1%,10
69,西门鸡角弄,上映19天,12.9万,0.00万,<0.1%,2
